,SampleID,Treatment,Time
ACER-001-N-0,ACER-001,N,0
ACER-001-N-1,ACER-001,N,1
ACER-001-N-4,ACER-001,N,4
ACER-002-N-0,ACER-002,N,0
ACER-002-N-1,ACER-002,N,1
ACER-002-N-4,ACER-002,N,4
ACER-003-H-0,ACER-003,H,0
ACER-003-H-1,ACER-003,H,1
ACER-003-H-4,ACER-003,H,4
ACER-005-H-0,ACER-005,H,0
ACER-005-H-1,ACER-005,H,1
ACER-005-H-4,ACER-005,H,4
ACER-006-V-0,ACER-006,V,0
ACER-006-V-1,ACER-006,V,1
ACER-006-V-4,ACER-006,V,4
ACER-007-V-0,ACER-007,V,0
ACER-007-V-1,ACER-007,V,1
ACER-007-V-4,ACER-007,V,4
ACER-008-B-0,ACER-008,B,0
ACER-008-B-1,ACER-008,B,1
ACER-008-B-4,ACER-008,B,4
ACER-009-B-0,ACER-009,B,0
ACER-009-B-1,ACER-009,B,1
ACER-009-B-4,ACER-009,B,4
ACER-010-N-0,ACER-010,N,0
ACER-010-N-1,ACER-010,N,1
ACER-010-N-4,ACER-010,N,4
ACER-012-N-0,ACER-012,N,0
ACER-012-N-1,ACER-012,N,1
ACER-012-N-4,ACER-012,N,4
ACER-013-H-0,ACER-013,H,0
ACER-013-H-1,ACER-013,H,1
ACER-013-H-4,ACER-013,H,4
ACER-014-H-0,ACER-014,H,0
ACER-014-H-1,ACER-014,H,1
ACER-014-H-4,ACER-014,H,4
ACER-015-V-0,ACER-015,V,0
ACER-015-V-1,ACER-015,V,1
ACER-015-V-4,ACER-015,V,4
ACER-016-V-0,ACER-016,V,0
ACER-016-V-1,ACER-016,V,1
ACER-016-V-4,ACER-016,V,4
ACER-017-B-0,ACER-017,B,0
ACER-017-B-1,ACER-017,B,1
ACER-017-B-4,ACER-017,B,4
ACER-018-B-0,ACER-018,B,0
ACER-018-B-1,ACER-018,B,1
ACER-018-B-4,ACER-018,B,4
ACER-019-N-0,ACER-019,N,0
ACER-019-N-1,ACER-019,N,1
ACER-019-N-4,ACER-019,N,4
ACER-020-N-0,ACER-020,N,0
ACER-020-N-1,ACER-020,N,1
ACER-020-N-4,ACER-020,N,4
ACER-021-H-0,ACER-021,H,0
ACER-021-H-1,ACER-021,H,1
ACER-021-H-4,ACER-021,H,4
ACER-022-H-0,ACER-022,H,0
ACER-022-H-1,ACER-022,H,1
ACER-022-H-4,ACER-022,H,4
ACER-024-V-0,ACER-024,V,0
ACER-024-V-4,ACER-024,V,4
ACER-025-V-0,ACER-025,V,0
ACER-025-V-1,ACER-025,V,1
ACER-025-V-4,ACER-025,V,4
ACER-026-B-0,ACER-026,B,0
ACER-026-B-1,ACER-026,B,1
ACER-026-B-4,ACER-026,B,4
ACER-027-B-0,ACER-027,B,0
ACER-027-B-1,ACER-027,B,1
ACER-027-B-4,ACER-027,B,4
ACER-028-N-0,ACER-028,N,0
ACER-028-N-1,ACER-028,N,1
ACER-028-N-4,ACER-028,N,4
ACER-029-H-0,ACER-029,H,0
ACER-029-H-1,ACER-029,H,1
ACER-029-H-4,ACER-029,H,4
ACER-032-V-0,ACER-032,V,0
ACER-032-V-1,ACER-032,V,1
ACER-032-V-4,ACER-032,V,4
ACER-033-B-0,ACER-033,B,0
ACER-033-B-1,ACER-033,B,1
ACER-033-B-4,ACER-033,B,4
